District_Id,District,Year,Crop,Area,Prod_kg,Value_Real
,PENAFORTE,2025,Rice,18,15,5.33
,PENAFORTE,2025,Maize,920,124,30.4
,PENAFORTE,2025,Bean,844,61,47.83
,PEREIRO,2025,Rice,40,27,9.6
,PEREIRO,2025,Maize,3720,877,214.99
,PEREIRO,2025,Bean,3397,414,324.59
,PIQUET CARNEIRO,2025,Rice,20,4,1.42
,PIQUET CARNEIRO,2025,Maize,2811,1287,315.5
,PIQUET CARNEIRO,2025,Bean,1828,377,295.58
,PORTEIRAS,2025,Rice,21,18,6.4
,PORTEIRAS,2025,Maize,3300,587,143.9
,PORTEIRAS,2025,Bean,549,249,195.23
,POTENGI,2025,Rice,25,25,8.89
,POTENGI,2025,Maize,3991,3076,754.07
,POTENGI,2025,Bean,2950,664,520.6
,POTIRETAMA,2025,Rice,,0,
,POTIRETAMA,2025,Maize,414,125,30.64
,POTIRETAMA,2025,Bean,1461,255,199.93
,QUIXADA,2025,Rice,1,2,0.71
,QUIXADA,2025,Maize,5400,4320,1059.04
,QUIXADA,2025,Bean,6800,4333,3397.25
,QUIXELO,2025,Rice,2190,12905,4587.62
,QUIXELO,2025,Maize,1550,384,94.14
,QUIXELO,2025,Bean,1080,453,355.17
,QUIXERAMOBIM,2025,Rice,1,2,0.71
,QUIXERAMOBIM,2025,Maize,6000,6564,1609.15
,QUIXERAMOBIM,2025,Bean,3400,1588,1245.06
,QUIXERE,2025,Rice,30,180,63.99
,QUIXERE,2025,Maize,495,495,121.35
,QUIXERE,2025,Bean,655,446,349.68
,RUSSAS,2025,Rice,150,900,319.94
,RUSSAS,2025,Maize,578,416,101.98
,RUSSAS,2025,Bean,2350,1397,1095.31
,SABOEIRO,2025,Rice,41,13,4.62
,SABOEIRO,2025,Maize,3000,874,214.26
,SABOEIRO,2025,Bean,2163,224,175.63
,SALITRE,2025,Rice,,0,
,SALITRE,2025,Maize,3496,1779,436.12
,SALITRE,2025,Bean,4146,1227,962.02
,SANTANA DO CARIRI,2025,Rice,,0,
,SANTANA DO CARIRI,2025,Maize,13550,3835,940.14
,SANTANA DO CARIRI,2025,Bean,11524,1832,1436.36
,SAO JOAO DO JAGUARIBE,2025,Rice,130,780,277.28
,SAO JOAO DO JAGUARIBE,2025,Maize,60,14,3.43
,SAO JOAO DO JAGUARIBE,2025,Bean,425,311,243.84
,SENADOR POMPEU,2025,Rice,120,144,51.19
,SENADOR POMPEU,2025,Maize,5838,4670,1144.84
,SENADOR POMPEU,2025,Bean,4670,1961,1537.5
,SOLONOPOLE,2025,Rice,235,310,110.2
,SOLONOPOLE,2025,Maize,2748,1676,410.87
,SOLONOPOLE,2025,Bean,2395,880,689.96
,TABULEIRO DO NORTE,2025,Rice,200,1200,426.59
,TABULEIRO DO NORTE,2025,Maize,730,92,22.55
,TABULEIRO DO NORTE,2025,Bean,1340,312,244.62
,TARRAFAS,2025,Rice,229,229,81.41
,TARRAFAS,2025,Maize,1667,745,182.63
,TARRAFAS,2025,Bean,1305,239,187.39
,TAUA,2025,Rice,,0,
,TAUA,2025,Maize,18473,10382,2545.12
,TAUA,2025,Bean,13116,2295,1799.37
,UMARI,2025,Rice,10,4,1.42
,UMARI,2025,Maize,1068,410,100.51
,UMARI,2025,Bean,631,103,80.76
,VARZEA ALEGRE,2025,Rice,2950,3237,1150.73
,VARZEA ALEGRE,2025,Maize,3400,1650,404.49
,VARZEA ALEGRE,2025,Bean,2500,395,309.7
